location_id,location_name,Interview Required Visitors (B1/B2),"Interview Required Students/Exchange Visitors (F, M, J)","Interview Required Petition-Based Temporary Workers (H, L, O, P, Q)",Interview Waiver Visitors (B1/B2),"Interview Waiver Students/Exchange Visitors (F, M, J)","Interview Waiver Petition-Based Temporary Workers (H, L, O, P, Q)"
P100,Kolkata,900 Days,37 Days,345 Days,178 Days,37 Days,291 Days
P101,Kolonia,4 Days,4 Days,4 Days,4 Days,4 Days,4 Days
P102,Koror,60 Days,60 Days,60 Days,1 Days,1 Days,1 Days
P103,Krakow,37 Days,21 Days,1 Days,1 Days,1 Days,1 Days
P104,Kuala Lumpur,29 Days,18 Days,24 Days,1 Days,1 Days,1 Days
P105,Kuwait,3 Days,3 Days,3 Days,7 Days,7 Days,7 Days
P106,Kyiv,Closed,Closed,Closed,Closed,Closed,Closed
P107,La Paz,210 Days,210 Days,210 Days,14 Days,14 Days,999 Days
P108,Lagos,443 Days,161 Days,3 Days,50 Days,21 Days,4 Days
lahore,Lahore,Closed,Closed,Closed,Closed,Closed,Closed
P109,Libreville,187 Days,14 Days,30 Days,7 Days,7 Days,7 Days
P110,Lilongwe,87 Days,10 Days,10 Days,7 Days,7 Days,7 Days
P111,Lima,757 Days,138 Days,139 Days,60 Days,999 Days,999 Days
P112,Lisbon,90 Days,8 Days,93 Days,999 Days,14 Days,14 Days
P113,Ljubljana,7 Days,7 Days,7 Days,7 Days,7 Days,7 Days
lome,Lome,90 Days,45 Days,45 Days,45 Days,45 Days,45 Days
P115,London,81 Days,5 Days,5 Days,21 Days,21 Days,21 Days
P116,Luanda,21 Days,25 Days,6 Days,4 Days,4 Days,4 Days
P117,Lusaka,4 Days,2 Days,2 Days,2 Days,2 Days,2 Days
P118,Luxembourg,66 Days,14 Days,30 Days,66 Days,14 Days,30 Days
P119,Madrid,377 Days,30 Days,148 Days,Same Day,1 Days,1 Days
P120,Majuro,14 Days,14 Days,21 Days,14 Days,14 Days,21 Days
P121,Malabo,140 Days,90 Days,90 Days,,,
managua,Managua,141 Days,1 Days,30 Days,1 Days,1 Days,1 Days
P123,Manama,14 Days,3 Days,3 Days,1 Days,1 Days,1 Days
P124,Manila,141 Days,9 Days,23 Days,1 Days,1 Days,1 Days
P125,Maputo,27 Days,27 Days,27 Days,,,
marseille,Marseille,Closed,Closed,Closed,Closed,Closed,Closed
P126,Maseru,Closed,Closed,Closed,Closed,Closed,Closed
P127,Matamoros,652 Days,1 Days,3 Days,337 Days,337 Days,337 Days
P128,Mbabane,36 Days,3 Days,3 Days,1 Days,1 Days,1 Days
P129,Melbourne,53 Days,43 Days,60 Days,4 Days,4 Days,4 Days
P130,Merida,717 Days,17 Days,13 Days,170 Days,170 Days,170 Days
mexicali_tpf,Mexicali Tpf,Closed,Closed,Closed,Closed,Closed,Closed
P131,Mexico City,679 Days,7 Days,53 Days,155 Days,7 Days,53 Days
P132,Milan,9 Days,16 Days,1 Days,Same Day,Same Day,Same Day
P133,Minsk,Closed,Closed,Closed,Closed,Closed,Closed
P134,Monrovia,120 Days,18 Days,30 Days,1 Days,1 Days,1 Days
P135,Monterrey,542 Days,4 Days,2 Days,290 Days,1 Days,3 Days
P136,Montevideo,192 Days,22 Days,15 Days,1 Days,1 Days,1 Days
